OID,FID_,X,Y,BCE_Tamaki
62,62,1767818.533077754,5919272.904347251,-0.670682101
63,63,1767812.807070001,5919244.940399855,0.395051282
64,64,1767828.458173004,5919234.488562892,-0.588782065
65,65,1767820.62606852,5919220.602477832,0.654949589
66,66,1767844.083034235,5919214.240011867,-0.48503332
67,67,1767843.493410328,5919184.340043715,-0.402567896
68,68,1767834.108845746,5919114.732057949,0.161600006
69,69,1767849.733258305,5919094.483162508,0.20323077
70,70,1767881.76861505,5919093.850732364,-0.681025022
71,71,1767857.545504074,5919084.358636861,0.941640008
72,72,1767873.366618709,5919074.075907028,0.096187492
73,73,1767727.124184632,5918767.874943427,0.220618751
74,74,1767650.650935542,5918749.440791018,0.531549999
75,75,1767706.710186542,5918748.336302547,0.260552298
76,76,1767641.306879428,5918690.003331487,0.42123636
77,77,1767630.204133366,5918677.630343553,0.495069884
78,78,1767590.470143548,5918541.246462477,0.998765432
79,79,1767608.028165703,5918547.036286744,0.446941177
80,80,1767612.113951463,5918486.095828977,0.463183852
81,81,1767582.671588992,5918452.835246023,1.197826085
82,82,1767602.359195447,5918429.652536566,4.106862692
83,83,1767620.107113903,5918411.247714191,3.876818161
84,84,1767632.268371654,5918401.100001424,1.993086412
85,85,1767643.769818835,5918377.039427472,3.803125001
86,86,1767682.653649364,5918300.979798864,1.27644067
87,87,1767690.17205919,5918290.579638925,1.172714281
88,88,1767677.423213357,5918385.395546908,0.579590482
89,89,1767713.118767661,5918259.676952518,0.623999995
90,90,1767734.90993366,5918261.181225938,0.326857148
91,91,1767721.85523884,5918240.97913411,0.419215687
92,92,1767729.673186118,5918231.236371183,0.396341463
93,93,1767744.517885938,5918219.37577642,0.361486492
94,94,1767767.904449134,5918227.633825445,0.30444175
95,95,1767792.042108744,5918208.45016436,0.309629633
96,96,1767760.7460252,5918200.125993732,0.362363644
97,97,1767810.10335334,5918182.259035792,0.279361704
98,98,1767800.09346897,5918159.694864891,0.326888892
99,99,1767854.596618742,5918107.724189442,0.241142858
100,100,1767897.70635294,5918097.265647616,0.184988342
101,101,1767930.019120452,5918066.524477793,0.176330274
102,102,1767964.661327732,5918005.747003377,0.841506843
103,103,1767852.134642955,5917997.68367169,0.812208321
104,104,1767988.407297822,5917985.535679828,1.061999994
105,105,1768004.038828538,5917974.957048755,1.084649347
106,106,1767836.113228117,5917968.088259249,0.811730763
107,107,1767903.693417387,5917971.740179606,0.845749972
108,108,1767939.275528379,5917956.283438114,0.789090873
109,109,1768028.058035133,5917955.537935272,1.324418171
110,110,1767851.151569659,5917947.850640449,0.967249994
111,111,1768043.7484207,5917944.806127477,1.344531279
112,112,1767946.889798962,5917936.192166234,0.847857133
113,113,1768059.560103789,5917934.618762525,1.281121221
114,114,1768037.687767976,5917990.374482578,0.197477632
115,115,1768075.408819633,5917924.483636606,1.272887095
116,116,1768119.933812001,5917922.6029911,0.250714283
117,117,1768151.480890797,5917922.563802683,0.169296295
118,118,1767828.573679441,5917930.104616494,1.076880732
119,119,1768090.764833335,5917917.99627186,0.932624988
120,120,1767834.349746529,5917908.300148933,1.303625014
121,121,1767848.148292875,5917917.75176663,0.798153822
122,122,1768114.96918816,5917903.628378794,0.853482287
123,123,1768162.926360184,5917898.613347129,0.200406015
124,124,1767987.352857347,5917908.429266978,0.871301921
125,125,1768138.577552911,5917889.087957207,0.933464568
126,126,1768154.403494891,5917878.974697966,0.98681102
127,127,1767837.11790749,5917877.595332881,1.008737867
128,128,1768010.004131962,5917878.764732079,0.863788323
129,129,1767841.374379665,5917858.30915889,1.310250007
130,130,1768237.752280691,5917850.480616428,0.19750633
131,131,1768197.2666182,5917864.849500154,0.603065785
132,132,1768277.396224037,5917829.755599648,0.196447207
133,133,1767928.087589045,5917816.716171801,0.700624992
134,134,1768317.039980845,5917809.030389894,0.189662501
135,135,1767852.518377641,5917822.851027826,-9999.0
136,136,1768117.05857699,5917811.781772044,1.130012157
137,137,1768360.687342647,5917788.225754975,0.219933335
138,138,1767866.081736588,5917798.719890165,0.971500006
139,139,1768120.886566158,5917783.473476386,1.20971875
140,140,1767891.40509885,5917800.760962682,0.851646044
141,141,1768031.997224855,5917775.509661837,0.786777782
142,142,1768128.073590443,5917772.884613506,1.404549994
143,143,1767879.351890692,5917777.281978498,1.222327584
144,144,1767895.936111605,5917758.15537464,0.98030768
145,145,1768050.982865656,5917757.919985072,0.735970226
146,146,1768103.657061999,5917753.426070342,0.775734178
147,147,1767903.955803347,5917748.338023699,0.939818175
148,148,1768111.482029526,5917744.027969597,0.682306115
149,149,1767919.090317692,5917737.129790719,0.784875
150,150,1767926.907018877,5917727.012224693,0.867375004
151,151,1767949.626190203,5917738.154718391,0.777248528
152,152,1768365.633335453,5917776.713297886,1.066305111
153,153,1768515.519060058,5917715.411553023,1.389765811
154,154,1767934.779174563,5917716.962702937,0.971265822
155,155,1767950.530062325,5917706.597763578,0.778999981
156,156,1767982.560032346,5917705.965409632,0.714124987
157,157,1768173.498482406,5917741.974622781,0.801382262
158,158,1767958.340797326,5917696.473076021,0.810512809
159,159,1767998.22057626,5917695.88691551,0.468407409
160,160,1768241.111377558,5917700.920630071,0.390501114
161,161,1767966.151513251,5917686.348380494,1.039999977
162,162,1768272.172768157,5917683.261183807,0.356047874
163,163,1767981.969674613,5917676.065576764,1.006374999
164,164,1768369.229833472,5917662.941301564,0.2452345
165,165,1767997.590992538,5917655.816130493,0.847749994
166,166,1768013.212234158,5917635.566652348,0.721860752
167,167,1768120.996368002,5917663.154784641,0.652504374
168,168,1768062.676712941,5917608.180386768,0.748432734
169,169,1767625.153896086,5917516.901070614,0.404765627
170,170,1767393.124259379,5917438.27166015,1.26237885
171,171,1767391.972544829,5917418.693132387,0.421428572
172,172,1769807.326717588,5917221.062138207,-0.486374991
173,173,1767260.879582373,5917261.54308386,0.342564108
174,174,1769783.106439986,5917211.575116578,-0.768734185
175,175,1769712.129578611,5917133.630531475,0.150434782
176,176,1767248.432906942,5917216.402571686,0.423931215
177,177,1769688.355460091,5917119.742382243,0.291934672
178,178,1769664.816728531,5917104.258989838,-0.312562495
