OID,FID_,X,Y,BCE_Lyttel
320,320,1572367.28935957,5168086.441208715,0.679670126
321,321,1572994.897050541,5168082.567650925,-0.364392153
322,322,1572309.847127681,5168065.517875957,0.554760378
323,323,1571725.269855424,5168069.405818439,1.140453197
324,324,1572265.432085608,5168050.298132916,0.45416216
325,325,1574900.319629099,5168079.796369598,-0.20157425
326,326,1571756.392530111,5168039.786421315,0.983945938
327,327,1572248.682614479,5168029.425765496,0.529457137
328,328,1573049.218922686,5168032.970459291,-0.442275506
329,329,1572237.625078169,5168009.578806859,0.622218054
330,330,1573067.749322948,5168014.195814007,-0.477647061
331,331,1573082.322123173,5167998.476327207,-0.350380261
332,332,1572228.5248052,5167987.154105071,1.160128197
333,333,1571785.078010001,5167984.28397634,1.191025953
334,334,1572096.422554218,5167961.247527548,0.756789465
335,335,1572139.044845151,5167966.681567458,0.768507509
336,336,1572209.849098552,5167967.994921704,0.865726035
337,337,1571851.915256015,5167944.571854952,1.050581492
338,338,1571937.627983326,5167912.960673888,1.02638663
339,339,1572050.278860689,5167909.17583291,0.981291383
340,340,1574692.737457917,5167879.743549679,0.341717953
341,341,1574701.882574237,5167864.552830311,0.566695172
342,342,1572843.965910004,5167795.452626269,1.006920447
343,343,1572855.246213404,5167747.995017122,0.984883457
344,344,1572648.639145084,5167731.051280878,0.622344831
345,345,1572624.69920939,5167713.958447008,0.648783626
346,346,1574418.741952156,5167689.722483639,0.970555556
347,347,1574394.360916383,5167679.641475273,0.182474579
348,348,1576741.631735903,5167678.14843418,-0.371492324
349,349,1574711.537178641,5167686.662886512,0.330033592
350,350,1574829.847457001,5167652.025379493,0.230294129
351,351,1576705.574933239,5167658.88378446,-0.150680002
352,352,1574846.987756152,5167631.719314257,0.3534806
353,353,1576654.751534519,5167578.320455784,-0.842681818
354,354,1576608.045562024,5167537.609482205,-0.899436885
355,355,1576597.310361447,5167528.571856013,-0.806659573
356,356,1574750.30880907,5167511.293845743,-0.449265325
357,357,1576568.813165078,5167514.907549414,-0.057569315
358,358,1576539.833616236,5167497.122990279,0.764228577
359,359,1572461.877429917,5167432.50658365,1.007499989
360,360,1572474.090775436,5167419.537286438,0.936556201
361,361,1572498.112374704,5167368.029039335,1.078327743
362,362,1574363.185291246,5167375.747804319,0.474706796
363,363,1574312.130297893,5167361.648292083,0.282995237
364,364,1574837.816623493,5167361.239009485,-0.315799989
365,365,1572505.168607709,5167347.340405083,1.062782897
366,366,1574245.799443068,5167358.17698895,0.704854548
367,367,1572533.091140338,5167320.120969971,0.839760735
368,368,1572556.409826996,5167293.045510756,0.770384628
369,369,1572576.026706969,5167273.436714838,0.684535356
370,370,1572597.73243613,5167253.537584285,0.595572824
371,371,1572611.342430641,5167243.368373384,0.549953124
372,372,1572642.666745712,5167229.383578555,0.54846509
373,373,1574665.638282007,5167211.521098899,0.195062502
374,374,1572657.988841059,5167173.034237318,1.153487181
375,375,1574678.920949271,5167184.901780882,0.071100271
376,376,1574698.721209338,5167151.981927748,0.02290991
377,377,1574708.679939049,5167141.919535763,-0.037482757
378,378,1572528.788520074,5167071.639746933,0.894846163
379,379,1574719.382063237,5167086.545401861,0.181925169
380,380,1572521.677120823,5167061.637896872,0.967219504
381,381,1574745.873226925,5167072.306516787,0.045587413
382,382,1574757.543974869,5167052.665203644,0.098318339
383,383,1572500.336735423,5167022.475026575,0.837439983
384,384,1574789.825385858,5167028.403414324,0.036103604
385,385,1574819.719388766,5167010.338934908,0.083125
386,386,1576309.620262867,5167007.632401363,0.395537312
387,387,1574854.279741573,5166987.624884252,0.213804444
388,388,1574178.597188578,5166967.457511093,0.302459283
389,389,1574880.210469406,5166951.531076619,0.052553844
390,390,1572427.833968838,5166911.344139203,0.904541668
391,391,1574132.639016277,5166909.979683555,0.943615378
392,392,1572398.466597496,5166891.235951417,1.00072338
393,393,1574114.444683525,5166891.878676533,0.052567567
394,394,1574866.198935386,5166856.752935955,0.253545172
395,395,1572336.313811086,5166843.104409004,1.135107556
396,396,1574898.77891201,5166822.391584992,0.164862124
397,397,1576353.58981084,5166818.50603476,1.061527647
398,398,1574935.81320017,5166798.610566609,0.35103984
399,399,1572421.29338532,5166775.086302892,0.860194455
400,400,1576345.139113879,5166789.224370259,0.178805556
401,401,1574975.72951186,5166769.291576891,0.476864733
402,402,1572283.944974553,5166761.562247436,1.059527348
403,403,1576210.027692145,5166749.327916496,0.239159094
404,404,1576092.876474946,5166739.931020786,0.315033328
405,405,1572601.888582938,5166703.988541661,0.739241233
406,406,1576274.637074045,5166690.642274496,0.341085709
407,407,1575919.730291527,5166676.840661031,0.301428566
408,408,1575941.461807093,5166676.918807673,0.244971425
409,409,1575963.193323544,5166676.996879841,0.187763636
410,410,1574900.238679157,5166648.120189592,0.612149994
411,411,1575876.116195587,5166639.207562341,0.297810813
412,412,1572523.816823696,5166602.879960703,0.998300007
413,413,1575864.047437487,5166614.785736634,0.715847822
414,414,1572515.61926186,5166583.702662628,0.901878784
415,415,1574833.8023878,5166571.953596153,0.784092581
416,416,1572494.127991271,5166553.557416803,0.950786884
417,417,1575861.93514834,5166566.568188974,0.408444445
418,418,1572487.473460898,5166543.079146475,0.987580013
419,419,1575871.197702342,5166549.771393657,0.465519131
420,420,1574830.063090735,5166538.156381507,0.933541888
421,421,1575871.661436543,5166517.253808474,0.532592913
422,422,1575862.329990288,5166502.30219474,0.466284677
423,423,1574849.845840709,5166484.518447403,1.03022855
424,424,1575854.823654976,5166487.672777683,0.508051729
425,425,1575842.348527309,5166474.98994444,0.686581822
426,426,1572618.010517359,5166444.321016034,1.220305073
427,427,1574000.093268633,5166430.598394942,0.358517856
428,428,1572610.816417118,5166414.373975877,0.989806449
429,429,1574884.60839871,5166455.955457531,0.95024454
430,430,1574906.833801545,5166414.12098593,1.165546871
431,431,1574921.423658599,5166399.073269966,1.267795244
432,432,1573990.970206123,5166396.783870739,0.602212124
433,433,1574935.891509026,5166384.308763471,1.188921886
434,434,1574951.806827757,5166399.790467247,0.789010809
435,435,1575802.157393446,5166423.685365399,0.867064986
436,436,1572871.744814846,5166365.617634323,0.423156255
437,437,1573972.066262305,5166371.676509102,1.087276608
438,438,1575417.871354599,5166385.40733973,1.230667601
439,439,1575479.288923414,5166377.42065974,0.446285716
440,440,1575498.658943129,5166367.182347522,0.188720426
441,441,1575508.719668825,5166357.10421341,0.292071429
442,442,1575786.609707741,5166357.12210977,0.446863305
443,443,1575006.688869203,5166351.293133545,0.815510323
444,444,1575371.774624211,5166359.572289627,0.800983849
445,445,1575348.183883237,5166336.864533759,0.671603772
446,446,1575520.7925761,5166344.409769868,0.262743586
447,447,1572582.293060046,5166329.08794389,1.284064223
448,448,1572568.2162654,5166303.932514654,1.339244908
449,449,1575781.446969401,5166324.58012317,0.572623432
450,450,1572560.870504235,5166293.614349276,1.256529426
451,451,1575299.058482294,5166313.797771597,0.682384839
452,452,1575600.605340877,5166307.551268195,0.522529522
453,453,1575096.331300119,5166287.057509757,0.871890985
454,454,1575647.745723732,5166287.230774226,0.725856253
455,455,1572539.918792547,5166249.075552533,0.994117638
456,456,1573878.201529567,5166245.70980481,0.607261536
457,457,1573871.006676405,5166230.784904306,0.494413798
458,458,1575183.448813158,5166243.23075343,1.024907928
459,459,1573851.783677967,5166207.418261901,0.456082902
460,460,1573776.786479247,5166202.888130333,0.61188612
461,461,1572886.732603971,5166159.503279624,0.910583902
462,462,1572525.027872946,5166119.106277075,1.182366683
463,463,1572517.79655453,5166104.619692438,1.291491788
464,464,1572887.281285504,5166088.632169337,0.759791676
465,465,1572488.905834339,5166064.550460162,1.030499989
466,466,1572474.594174265,5166044.539340312,1.404238082
467,467,1572467.80426409,5166034.143850231,1.344785695
468,468,1573678.689938208,5166017.182924621,0.55959278
469,469,1573667.107806739,5165990.175800486,0.686893338
470,470,1572917.211127046,5165989.290805796,1.000633315
471,471,1573662.924702966,5165969.98335469,0.745085113
472,472,1572925.6366902,5165957.057757522,0.896104675
473,473,1573661.074353277,5165950.56234337,0.587761894
474,474,1572918.034240024,5165916.932096635,1.440097562
475,475,1573637.349112463,5165895.194425407,0.541602038
476,476,1572921.354914348,5165813.324743161,1.157247064
477,477,1573626.853923623,5165800.23180712,0.977842872
478,478,1572932.134235412,5165793.647978278,1.021648652
479,479,1572932.005742781,5165751.800181806,0.686403235
480,480,1572925.336510365,5165731.021916811,1.332479996
481,481,1573269.039225106,5165729.236550703,1.125557964
482,482,1572917.745221112,5165711.303626856,0.982915251
483,483,1572903.983617579,5165687.085581857,0.898115394
484,484,1573148.209228478,5165680.022975931,0.846926827
485,485,1573125.376292028,5165666.959100028,1.13401962
486,486,1573684.17704243,5165651.287412988,1.092999984
487,487,1573674.303879111,5165626.163676223,1.001569066
488,488,1573258.25695127,5165609.168589097,1.166742871
489,489,1572816.623849257,5165585.868554665,1.030919987
490,490,1573040.336856569,5165590.810047359,0.750205885
491,491,1573236.911362655,5165587.860693707,1.239980365
492,492,1573017.328153333,5165579.294194633,0.747885352
493,493,1573211.925960828,5165578.581592444,1.124139562
494,494,1573669.88888831,5165587.169219554,0.983144562
495,495,1572982.820331812,5165559.032248619,0.718833327
496,496,1573664.282727332,5165555.951466658,1.010799988
497,497,1572946.530162202,5165530.010889483,0.837086929
498,498,1573274.119544187,5165530.667922437,1.340059212
499,499,1572787.763599788,5165537.247991187,1.423108843
500,500,1573302.304685567,5165521.53939948,1.063666666
501,501,1572780.652129217,5165497.543560045,0.871957131
502,502,1573363.680920409,5165499.53924014,0.767881196
503,503,1572766.560179576,5165487.091632369,0.942516138
504,504,1572898.334748829,5165488.744507405,0.867419998
505,505,1573386.671563821,5165491.763910447,1.092000006
506,506,1572759.644946114,5165476.645441691,1.110719296
507,507,1572889.203813931,5165478.27232637,0.992757556
508,508,1573397.248447854,5165481.462578942,1.187000027
509,509,1572752.474959196,5165466.591645957,1.325191519
510,510,1572737.933572493,5165446.725876079,0.984072731
511,511,1572867.612597454,5165448.220088714,0.867268646
512,512,1573409.429117791,5165464.052658803,1.11068341
513,513,1572730.851110058,5165436.703219597,0.963228077
514,514,1572847.947810972,5165425.761303595,0.867948275
515,515,1572741.138947564,5165407.760545657,0.919697039
516,516,1572731.569219464,5165366.466601626,1.370399997
517,517,1573406.309631347,5165379.046910754,1.022277689
518,518,1573614.567151136,5165362.191845628,0.940525435
519,519,1573683.422656528,5165362.478287798,1.279538824
520,520,1572723.47034618,5165347.480591889,1.119279411
521,521,1573433.648936117,5165357.406948623,1.39114286
522,522,1573526.277681098,5165351.764263977,0.80353333
523,523,1573702.442068275,5165353.140423476,1.10936585
524,524,1573652.95326411,5165343.804301541,1.274615412
525,525,1573720.221859473,5165342.502294599,1.0571081
526,526,1573707.729418344,5165417.98386777,1.135861054
