OID,FID_,X,Y,BCE_Lyttel
527,527,1573742.762831781,5165319.47969077,1.102327671
528,528,1573761.63360949,5165312.328448523,1.225568966
529,529,1572715.577749187,5165306.990719571,1.193382285
530,530,1573453.550605069,5165294.140780586,1.011837547
531,531,1572759.231120343,5165269.932046664,0.786999995
532,532,1573486.621406197,5165265.160624302,0.970768257
533,533,1572710.030467235,5165214.937502167,1.235711555
534,534,1572745.465950205,5165197.681686854,1.231181788
535,535,1572732.605557531,5165186.65404968,0.946250018
536,536,1572695.327438033,5165167.682368491,0.776661971
537,537,1572723.297001368,5165169.283623495,0.971549042
538,538,1572715.799559409,5165160.484693876,0.956758614
539,539,1572702.091501025,5165148.703467412,0.931186428
540,540,1572681.068947973,5165140.228314402,0.900059336
541,541,1572678.091622424,5165096.254592446,1.186429537
