OID,FID_,X,Y,BCE_Tauran
383,383,1860324.443040102,5838614.507070992,-0.012600001
384,384,1869538.258544398,5838310.202712861,-0.115574078
385,385,1869549.565459447,5838299.062062737,-0.085065423
386,386,1859119.918183648,5838978.575343386,0.643948813
387,387,1860371.121811459,5838583.10333234,-0.135472731
388,388,1859427.402803864,5838611.695516725,-0.076695401
389,389,1859449.89333944,5838592.013740614,-0.269625004
390,390,1859459.100489005,5838525.114890605,-0.326174755
391,391,1859455.022584829,5838502.038665018,-0.344375006
392,392,1859298.831551023,5838347.781878414,-0.074428783
393,393,1868266.072571741,5837782.365464909,0.423925008
394,394,1868393.521803687,5837783.833468596,0.400246374
395,395,1868225.480133866,5837765.864574648,0.329404257
396,396,1868201.252716944,5837757.3778609,0.263000003
397,397,1868176.891347141,5837748.871622399,0.251333332
398,398,1859820.787393254,5838000.659699394,-0.008454543
399,399,1868069.858186318,5837710.033790298,0.264986843
400,400,1868102.967912319,5837723.409043121,0.333678033
401,401,1868048.604252695,5837700.689994502,0.202161291
402,402,1867996.675490171,5837681.293546266,0.205159234
403,403,1868028.943176396,5837690.626458047,0.180685036
404,404,1859783.736276494,5837937.079340875,0.259249996
405,405,1870753.597891426,5837578.05510869,1.179857169
406,406,1859762.762144055,5837923.369398349,-0.154724997
407,407,1867972.223707982,5837662.123238587,0.619987504
408,408,1867997.393322608,5837666.465052583,0.698169643
409,409,1859746.22052532,5837883.969973863,0.092339623
410,410,1859983.549504644,5837876.740247702,0.121535716
411,411,1867811.898278845,5837617.401776211,0.345537499
412,412,1859998.795412506,5837856.303276276,0.149418183
413,413,1860006.577147899,5837845.871893945,0.170443035
414,414,1867767.607897891,5837598.871679253,0.179493671
415,415,1860014.358862578,5837835.440501032,0.148800002
416,416,1867751.414843052,5837589.41436368,0.150064936
417,417,1867735.221244939,5837579.956988465,0.188499997
418,418,1860029.286993019,5837815.429235762,0.128444447
419,419,1860037.068648376,5837804.997820202,0.112774999
420,420,1867703.044643546,5837565.958000947,0.214687394
421,421,1860050.350122036,5837791.847060886,0.08798122
422,422,1867658.544808838,5837542.511292093,0.059651613
423,423,1860059.959868116,5837775.069133876,0.0848125
424,424,1860075.20538463,5837754.631999394,0.0645
425,425,1860112.285929554,5837718.748548971,-0.013258428
426,426,1870557.82037628,5837518.638415748,0.761900476
427,427,1867605.572496265,5837485.758050368,0.084858784
428,428,1866466.47074044,5837582.923966035,0.649920164
429,429,1867563.28142669,5837426.006921651,0.108750001
430,430,1860170.029085149,5837654.461130093,0.094676471
431,431,1868755.73008894,5837574.11674144,0.828000381
432,432,1867538.582212961,5837401.182678589,0.041297414
433,433,1869600.589101995,5837289.961937478,0.298141027
434,434,1869633.735667564,5837292.968071325,0.250450981
435,435,1869672.008581506,5837287.639172847,0.178499998
436,436,1867518.370935627,5837364.71858299,0.090830275
437,437,1869663.748798897,5837277.92736035,0.350600006
438,438,1867501.334502976,5837347.980242858,0.002808823
439,439,1869498.772660652,5837279.545140235,0.443050111
440,440,1869647.808117596,5837270.350127341,0.71825532
441,441,1869675.327733209,5837267.570253802,0.58466879
442,442,1859761.091453596,5837601.903513039,-0.006429657
443,443,1870921.10591764,5837280.792985321,0.605004141
444,444,1869725.767239615,5837264.208848626,0.352918771
445,445,1869853.302243751,5837242.474639253,0.066661971
446,446,1869418.123028908,5837257.747396665,0.442077552
447,447,1869783.005420605,5837245.877935829,0.355548598
448,448,1870887.375590135,5837204.768188056,0.561063025
449,449,1869263.537457392,5837294.314906583,0.287506684
450,450,1859571.654421433,5837514.925058137,-0.182999998
451,451,1859550.250511121,5837503.262365256,-0.24030769
452,452,1859529.101930079,5837491.680783832,-0.284375004
453,453,1867508.707672922,5837321.825530434,0.078333333
454,454,1859508.995352455,5837475.490513258,-0.242850009
455,455,1859458.288808565,5837434.049679707,-0.298999988
456,456,1870835.351151053,5837131.833967546,0.553378584
457,457,1859442.671284176,5837419.836772585,-0.336142842
458,458,1867492.883187837,5837188.62902068,0.313958855
459,459,1867481.874492808,5837119.270050242,0.239581813
460,460,1870082.651629154,5837106.172131866,0.238153768
461,461,1867075.754437593,5837250.233177906,0.603367481
462,462,1867489.903297913,5837098.842726973,0.315166672
463,463,1870159.038015642,5837012.498599249,-0.034887096
464,464,1870915.672628646,5836937.635029308,0.661128206
465,465,1870232.315137967,5836930.056710088,-0.593724998
466,466,1870917.841699952,5836917.90460073,0.576500965
467,467,1870930.612248872,5836907.263714257,0.712717947
468,468,1867501.669951706,5837003.860256279,0.898215915
469,469,1867477.048977101,5836969.722125304,0.234290905
470,470,1870272.690041344,5836863.434475731,-0.485570609
471,471,1870957.147666494,5836835.14555786,0.598689133
