OID,FID_,X,Y,BCE_Port_F
413,413,1811175.193142841,5992135.017707854,-0.928285735
414,414,1809449.343800348,5992165.87673065,-9999.0
415,415,1810655.202405176,5992164.663227991,-9999.0
416,416,1810685.555573963,5992152.104414895,-9999.0
417,417,1811157.792631876,5992114.737630476,0.191114275
418,418,1808193.781365122,5992194.438383614,-9999.0
419,419,1809487.174352959,5992117.148504193,0.977355916
420,420,1808203.668270769,5992120.766268192,-9999.0
421,421,1809434.848225485,5992081.924494435,-0.476590929
422,422,1808197.691594573,5992071.716693724,-0.597268316
423,423,1809421.136276695,5992054.624983736,-0.315021651
424,424,1809442.135913719,5992031.463610883,-9999.0
425,425,1811052.004268236,5991978.982022653,-9999.0
426,426,1811141.497676548,5992112.047246793,-0.781600024
427,427,1808219.23652249,5992047.15703544,-0.626181845
428,428,1811016.722170415,5991964.676462837,-9999.0
429,429,1809471.284553317,5991995.872342336,-9999.0
430,430,1809998.350800065,5991968.223738732,-9999.0
431,431,1809982.542947943,5991958.632205301,-9999.0
432,432,1810016.323798728,5991950.599079262,-9999.0
433,433,1808258.698724694,5991977.982449665,-9999.0
434,434,1809600.961771889,5991939.365224094,-9999.0
435,435,1809999.0504277,5991927.600156237,-9999.0
436,436,1810041.701783449,5991922.304330708,-9999.0
437,437,1808322.027638601,5991935.740694429,-9999.0
438,438,1808340.368611388,5991928.222086499,-9999.0
439,439,1808380.690199562,5991917.487212768,-9999.0
440,440,1809669.714355878,5991902.45009628,-0.013540878
441,441,1809688.493877079,5991856.014338954,-0.635600024
442,442,1808370.490882184,5991888.326990424,-0.844857165
443,443,1808387.171009715,5991857.298613554,-9999.0
444,444,1808370.657279463,5991842.734890428,0.196775345
445,445,1808394.369943149,5991832.195829597,-9999.0
446,446,1811714.651662187,5991735.654422225,-0.452758614
447,447,1808370.061496964,5991817.819131234,-0.854400015
448,448,1811101.596375691,5991747.419737644,-0.669185211
449,449,1811705.433469368,5991718.116003533,-0.621093761
450,450,1811089.547878129,5991725.234831283,-0.552679994
451,451,1811693.541492239,5991707.837307218,-0.74742515
452,452,1811770.610257781,5991726.112280119,0.348035724
453,453,1809532.042723973,5991739.997703793,-9999.0
454,454,1808392.889546812,5991761.313554077,-9999.0
455,455,1809551.488550917,5991704.738762834,-9999.0
456,456,1809522.266618823,5991690.482749561,1.078901066
457,457,1808377.776704027,5991714.561706429,-0.23088891
458,458,1809539.076485147,5991681.453080738,-0.770720015
459,459,1811614.858969334,5991638.648404577,-0.902617654
460,460,1811598.464345776,5991620.39375023,-0.888409085
461,461,1808367.084294104,5991693.238388404,0.008723259
462,462,1808391.602965613,5991692.652027342,-9999.0
463,463,1809538.403727862,5991664.773269919,-0.258856684
464,464,1811590.144547416,5991610.623199933,-0.898658559
465,465,1811569.465169946,5991591.180436064,-0.840520009
466,466,1808379.850688745,5991651.567060173,-9999.0
467,467,1809407.978439423,5991618.589071002,-9999.0
468,468,1809378.786517558,5991609.046833641,-9999.0
469,469,1811513.382119084,5991542.263694447,-0.456675327
470,470,1811179.482245184,5991537.34777878,-9999.0
471,471,1809346.303283883,5991575.043284279,-9999.0
472,472,1811155.579948252,5991520.21680074,-0.506444469
473,473,1809326.611302863,5991548.015050227,-0.907238117
474,474,1811595.457642537,5991490.82644106,-0.655612918
475,475,1808479.109438737,5991626.27696866,-9999.0
476,476,1811199.802648343,5991492.494533826,-0.797888916
477,477,1809332.860684423,5991495.588343632,-9999.0
478,478,1809340.220664071,5991465.494955241,-9999.0
479,479,1811136.969946931,5991421.812400789,-9999.0
480,480,1809556.109715811,5991450.865079768,-9999.0
481,481,1809500.905576985,5991445.22655945,-9999.0
482,482,1811438.677547392,5991489.034584723,-9999.0
483,483,1809555.443722349,5991420.16460802,-9999.0
484,484,1811151.521774997,5991392.824900927,-0.895500034
485,485,1809333.63280499,5991410.072839873,-0.887000024
486,486,1811147.646557599,5991362.070528945,-0.700333361
487,487,1809369.952048099,5991390.992563685,-9999.0
488,488,1811159.221320845,5991336.981723391,-0.8898
489,489,1809369.310348325,5991355.101924833,-9999.0
490,490,1809466.227030852,5991352.046505768,-9999.0
491,491,1809572.557492568,5991350.958098141,-9999.0
492,492,1811139.287818487,5991311.910137559,-0.771448296
493,493,1809377.148809405,5991344.941435045,-9999.0
494,494,1809587.33077555,5991339.689295098,-9999.0
495,495,1811146.198530535,5991302.271128549,-9999.0
496,496,1809384.987251625,5991334.780937245,-9999.0
