OID,FID_,X,Y,BCE_Peloro
99,99,1682119.960043597,5467694.101926117,-9999.0
100,100,1683966.545048006,5467672.233328347,-9999.0
101,101,1684926.491718856,5467668.891369551,-9999.0
102,102,1684685.171700423,5467649.458182025,-0.956499964
103,103,1684827.097246352,5467648.644694494,-9999.0
104,104,1684842.221215526,5467648.470374185,-9999.0
105,105,1685016.383745142,5467647.275341468,-9999.0
106,106,1682111.53079219,5467676.884789324,-0.458371666
107,107,1685121.165352046,5467666.882163704,-9999.0
108,108,1684849.329742725,5467682.691153007,-0.226004713
109,109,1685037.268574288,5467636.98756101,-9999.0
110,110,1683949.452281859,5467618.814306702,-9999.0
111,111,1684066.124385249,5467745.891521682,-0.826733284
112,112,1684630.185240678,5467610.80317703,-9999.0
113,113,1682096.006701977,5467638.527753239,-0.623280951
114,114,1684615.925949497,5467599.461243479,-9999.0
115,115,1680928.552718092,5467663.198699227,-9999.0
116,116,1684048.920136197,5467596.619060307,-9999.0
117,117,1684069.166929906,5467609.460201559,-9999.0
118,118,1682096.444147306,5467609.796788133,-9999.0
119,119,1685096.914413644,5467582.33348679,-9999.0
120,120,1680770.005304944,5467630.393827126,-9999.0
121,121,1684006.267252796,5467578.649669722,-9999.0
122,122,1684151.301323469,5467603.300017106,-0.78516002
123,123,1684982.659014386,5467600.394627281,-9999.0
124,124,1682071.949472848,5467599.895341606,-0.472877004
125,125,1684686.723608971,5467560.878338066,-9999.0
126,126,1685022.672101966,5467556.628546558,-9999.0
127,127,1685098.291034513,5467555.754610119,-9999.0
128,128,1684031.506562169,5467566.156337328,-9999.0
129,129,1684106.600027364,5467575.142431536,-9999.0
130,130,1684140.563723361,5467563.236823861,-9999.0
131,131,1684153.090852903,5467556.444766627,-0.570236092
132,132,1682060.121449925,5467567.822547255,-9999.0
133,133,1684145.414966207,5467546.559276659,-0.780475031
134,134,1684132.735855546,5467540.055391178,-0.896142845
135,135,1684581.929238226,5467542.535179285,-9999.0
136,136,1684569.623269948,5467521.279454228,-9999.0
137,137,1680776.443623492,5467583.237479094,-9999.0
138,138,1684080.911239813,5467527.349962674,-9999.0
139,139,1680772.331858287,5467539.470993928,-9999.0
140,140,1683962.795777066,5467493.222257021,-9999.0
141,141,1680704.030817808,5467521.358304451,-9999.0
142,142,1682003.743364402,5467517.936835665,-0.926062455
143,143,1683971.147343143,5467474.320005778,-9999.0
144,144,1684545.52004405,5467466.621507942,-9999.0
145,145,1680688.860911996,5467505.033475112,-9999.0
146,146,1680703.633141251,5467495.550051821,-9999.0
147,147,1681975.17730197,5467479.769565297,-0.768666625
148,148,1684544.898279416,5467442.453074683,-9999.0
149,149,1680666.01609974,5467475.503139894,-0.763199955
150,150,1684786.75999793,5467429.697441782,-9999.0
151,151,1682083.877419604,5467450.742692012,-9999.0
152,152,1684000.430599828,5467433.523090124,-9999.0
153,153,1681933.266756873,5467442.071723623,-9999.0
154,154,1684045.178573945,5467422.469214183,-9999.0
155,155,1684064.573063225,5467476.452308916,-0.720151607
156,156,1680546.822610449,5467432.76261759,-0.542999998
157,157,1681924.74790625,5467422.59623741,-9999.0
158,158,1684759.720774401,5467395.206316285,-9999.0
159,159,1684786.300473225,5467389.809630747,-9999.0
160,160,1684080.025125142,5467398.601081057,-0.564496369
161,161,1681902.735842604,5467405.520567194,-9999.0
162,162,1681904.844163341,5467382.548487458,-9999.0
163,163,1684475.812214563,5467353.486988685,-9999.0
164,164,1684037.121203318,5467348.536140911,-9999.0
165,165,1684064.138781676,5467363.366097903,-0.662056503
166,166,1684335.510264276,5467347.913511229,-0.879199967
167,167,1684483.559946008,5467343.015726877,-9999.0
168,168,1680150.412730345,5467375.005944987,-9999.0
169,169,1680203.192348046,5467377.926871913,-0.910000026
170,170,1680104.950987632,5467363.395731196,-0.474219996
171,171,1680122.533723261,5467362.474646722,-0.882999927
172,172,1684361.815536471,5467304.928296559,-9999.0
173,173,1684550.856147213,5467302.758875106,-9999.0
174,174,1680089.858797661,5467342.688052674,-0.384100485
175,175,1681879.770082086,5467354.295129791,-0.648093707
176,176,1684301.208317268,5467295.649533643,-9999.0
177,177,1684412.702880115,5467290.166817746,-9999.0
178,178,1684807.721578828,5467279.856758011,-9999.0
179,179,1680080.119807108,5467323.174099323,-0.86685709
180,180,1681857.199437993,5467304.922701228,-9999.0
181,181,1684028.648670397,5467268.846878422,-0.97999993
182,182,1684616.990050206,5467275.664797868,-9999.0
183,183,1680063.941367387,5467306.194386599,-0.921888851
184,184,1681850.803431969,5467283.41798039,-9999.0
185,185,1684486.565629036,5467254.007469755,-9999.0
186,186,1684777.130535899,5467250.289384307,-9999.0
187,187,1680419.378596037,5467293.843902363,-9999.0
188,188,1684581.470866462,5467253.036910243,-9999.0
189,189,1680035.962599377,5467283.228126514,-0.559725009
190,190,1680402.301328379,5467274.625515659,-9999.0
191,191,1684406.384678816,5467234.604407476,-9999.0
192,192,1684572.734140797,5467232.285535262,-9999.0
193,193,1684035.156386255,5467229.018886255,0.019419357
194,194,1680044.4804144,5467271.737654394,-0.550481185
195,195,1681812.910681725,5467243.467594638,-9999.0
196,196,1680030.493002139,5467243.798788169,-9999.0
197,197,1681356.313146545,5467234.962605375,-9999.0
198,198,1681510.328289247,5467226.895906711,-0.636970559
199,199,1681803.115889485,5467226.595394243,-0.718999958
200,200,1684145.328812945,5467205.397507782,-9999.0
201,201,1684262.258473861,5467196.362998255,-9999.0
202,202,1680005.174413756,5467233.697346305,-0.632999948
203,203,1681245.10785282,5467220.317541056,-9999.0
204,204,1684025.5140653,5467215.663372583,-0.519301195
205,205,1684526.700331452,5467215.267359,-9999.0
206,206,1680035.161516576,5467223.602696124,-9999.0
207,207,1681812.108754929,5467204.062858094,-9999.0
208,208,1684428.683437139,5467174.099960548,-9999.0
209,209,1684564.489757629,5467172.949706157,-9999.0
210,210,1684358.552377359,5467183.333122569,-9999.0
211,211,1684409.040033379,5467177.057230631,-9999.0
212,212,1684471.22105195,5467167.117178154,-9999.0
213,213,1684582.204010025,5467169.051599377,-9999.0
214,214,1681253.306912464,5467201.727013021,-9999.0
215,215,1681490.032141444,5467202.170843428,-0.662350023
216,216,1684133.489726226,5467164.971923982,-9999.0
217,217,1684511.33028202,5467153.613835879,-9999.0
218,218,1684541.576165959,5467153.266430785,-9999.0
219,219,1681002.701168655,5467183.09712438,-9999.0
220,220,1684560.251445649,5467148.169112887,-9999.0
221,221,1679993.074892583,5467202.801441424,-0.644668573
222,222,1681792.064419818,5467181.696694993,-0.923600066
223,223,1684504.899665698,5467134.271938329,-9999.0
224,224,1681774.081621623,5467148.633225684,-9999.0
225,225,1681046.053296285,5467148.578024395,-9999.0
226,226,1684321.973844636,5467100.812884215,-9999.0
227,227,1684448.462910147,5467090.373526341,-9999.0
228,228,1681763.313639296,5467109.239434788,-0.736350004
229,229,1684133.0380599,5467076.371903467,-9999.0
230,230,1681757.999266202,5467084.781598165,-0.86263636
231,231,1684111.18141692,5467057.615271806,-0.995000005
232,232,1684124.705611154,5467058.106564969,-0.505076867
233,233,1681750.290567384,5467069.857322499,-0.750387086
234,234,1681851.352871614,5467050.667540241,-9999.0
235,235,1679990.93371906,5467106.825187367,-0.904953116
236,236,1681333.751646125,5467029.848378183,-9999.0
237,237,1681870.809442679,5467028.674915576,-9999.0
238,238,1681377.8588334,5467015.526226917,-9999.0
239,239,1681757.389921004,5467029.935949558,-0.885727232
240,240,1681839.402369588,5467010.89601102,-9999.0
241,241,1681394.061449814,5466999.057543165,-9999.0
242,242,1681272.710614397,5466980.657001074,-9999.0
243,243,1679960.240960822,5466991.107110579,-9999.0
244,244,1681370.061176348,5466977.951905644,-9999.0
245,245,1681446.288101268,5466948.818375653,-9999.0
246,246,1681113.374909136,5466932.549299503,-9999.0
247,247,1680977.163732138,5466924.076353536,-9999.0
248,248,1681430.531720619,5466923.285558773,-9999.0
249,249,1681453.673251929,5466923.614895739,-0.68898422
250,250,1681751.021727167,5466941.860356533,-0.451826792
251,251,1684194.751984689,5466864.56211843,-9999.0
252,252,1681014.735725218,5466888.552235649,-9999.0
253,253,1681445.745880439,5466886.040833797,-9999.0
254,254,1679940.662387296,5466920.820190666,-0.91176466
255,255,1681279.702938603,5466875.136009926,-9999.0
256,256,1681476.128693621,5466868.247232467,-0.781222178
257,257,1681269.461976764,5466860.810438082,-9999.0
258,258,1681279.140628779,5466850.52585097,-9999.0
259,259,1681388.360049638,5466854.818138362,-9999.0
260,260,1681467.757299999,5466838.875885993,-9999.0
261,261,1681257.075711412,5466811.816749617,-9999.0
262,262,1679933.123342756,5466833.192336531,-0.934599942
263,263,1681497.082277059,5466799.347114954,-9999.0
264,264,1679933.831345032,5466780.130467735,-0.614588186
265,265,1679924.672114252,5466743.359780503,-0.696355719
266,266,1679923.668662946,5466706.212566352,-0.749000033
267,267,1679946.206583932,5466678.583852669,-9999.0
268,268,1680222.555107844,5466673.41714323,-9999.0
269,269,1679930.946668188,5466666.03651474,-0.829372059
270,270,1679945.960118951,5466655.900285951,-9999.0
271,271,1680195.319123071,5466653.391205054,-9999.0
272,272,1679972.314848016,5466645.640758941,-0.852892886
273,273,1680225.15038675,5466647.305160569,-9999.0
274,274,1679999.780063984,5466632.072182851,-0.805206874
275,275,1680199.3289083,5466623.804706521,-9999.0
276,276,1680023.012072562,5466611.034428779,-0.878920014
277,277,1680296.749475978,5466542.957136478,-9999.0
278,278,1680254.392236696,5466523.096430238,-9999.0
279,279,1680269.513752152,5466522.931472914,-9999.0
280,280,1680322.439057137,5466522.353877491,-9999.0
281,281,1680719.262445752,5466523.101508682,-9999.0
282,282,1680065.26478763,5466515.183830756,-9999.0
283,283,1680040.007145601,5466538.432694614,-0.880499963
284,284,1680302.038699873,5466508.815864287,-9999.0
285,285,1680269.492560947,5466493.012310226,-9999.0
286,286,1680821.120522108,5466486.973415552,-9999.0
287,287,1680057.583144725,5466490.130086252,-0.899199957
288,288,1680344.505864561,5466492.83382154,-9999.0
289,289,1680261.176509172,5466478.459865793,-9999.0
290,290,1680323.145305506,5466463.038156622,-9999.0
291,291,1680245.961382508,5466443.403340043,-9999.0
292,292,1680288.041733645,5466450.168228566,-9999.0
293,293,1680718.387227121,5466443.325933449,-9999.0
294,294,1680329.019940936,5466432.523826558,-9999.0
295,295,1680268.317027954,5466413.240078037,-9999.0
296,296,1680311.263100578,5466415.840937867,-9999.0
297,297,1680078.053584484,5466440.66192613,-0.595370552
298,298,1680105.642095641,5466389.875723368,-0.65808791
299,299,1680122.425643777,5466368.176235544,-0.827392817
300,300,1680146.890244285,5466344.610862843,-0.708765973
301,301,1680191.841039311,5466334.288989437,-9999.0
302,302,1680170.041767661,5466330.194573211,-0.731166616
303,303,1680815.81436827,5466297.918401603,-9999.0
304,304,1680206.677667348,5466294.030201701,-0.891999945
305,305,1680214.1294638,5466283.97582508,-0.686357158
306,306,1680846.315896671,5466250.410456113,-9999.0
307,307,1680767.941968461,5466224.560977601,-9999.0
308,308,1680230.841455798,5466243.650036577,-0.761134235
309,309,1680243.283837169,5466183.926546142,-0.948499997
310,310,1680243.011916015,5466158.996675989,-0.629796467
311,311,1680830.099286672,5466150.857089709,-9999.0
312,312,1680840.268258502,5466137.293606239,-9999.0
313,313,1680269.356769272,5466131.216673211,-0.666421048
314,314,1680461.826779269,5466116.714129897,-0.943499997
315,315,1680495.192819238,5466118.924663502,-0.130444431
316,316,1680450.297204394,5466101.89733707,-0.521634917
317,317,1680292.779584008,5466100.277026826,-9999.0
318,318,1680397.345903802,5466097.472810335,-9999.0
319,319,1680434.795445298,5466092.422534983,-0.031920006
320,320,1680530.706526278,5466118.473507863,-0.338593654
321,321,1680334.996940224,5466083.194220958,-9999.0
322,322,1680385.823622843,5466082.665849295,-0.719909048
323,323,1680302.624171532,5466078.561106364,-0.651388852
324,324,1680363.052117814,5466072.914661825,-9999.0
325,325,1680535.729624125,5466071.348343364,-0.642642848
326,326,1680350.990329178,5466061.778834305,-0.796166658
327,327,1680551.895752452,5466055.889572542,-0.82294998
328,328,1680567.155128259,5466041.206669864,-0.575076899
329,329,1680566.99993717,5466010.709042068,-0.37657142
