OID,FID_,X,Y,BCE_Port_U
81,81,1697316.176572544,5427547.750229037,-0.345764659
82,82,1693367.919605976,5427587.06925256,0.311375003
83,83,1693382.493435202,5427586.635032927,-0.197628564
84,84,1693360.269044165,5427579.04761411,0.092500002
85,85,1693558.3100309,5427576.603063839,1.065512901
86,86,1697338.648533115,5427527.785196519,-0.561499946
87,87,1694206.816921044,5427553.937861376,-0.114027354
88,88,1697372.325041866,5427449.220939096,1.057976689
89,89,1694218.339859908,5427445.330540229,-0.123105666
90,90,1697353.93758091,5427396.086428553,1.180399649
91,91,1693252.865863786,5427427.254549314,-0.249924975
92,92,1693267.575606513,5427411.38276373,-0.493523764
93,93,1697336.963336956,5427360.238897368,2.526411767
94,94,1697200.58600442,5427307.885845858,2.003250006
95,95,1697190.420435498,5427299.042465313,1.94750515
96,96,1693364.107004845,5427320.256856679,-0.705999951
97,97,1697147.352078292,5427268.848150748,5.344333331
98,98,1693385.899666066,5427260.131330971,-0.492828552
99,99,1696642.618840326,5427232.046668408,-0.221094616
100,100,1696658.096573658,5427164.446301755,2.032125342
101,101,1695548.827957994,5427093.302672767,0.920550944
102,102,1695572.563449398,5427094.01852368,1.604789529
103,103,1695630.199960686,5427083.940172995,1.335267344
104,104,1695677.545303591,5427070.730040348,-0.088042529
105,105,1695865.316185174,5427060.140221196,1.038507235
106,106,1696414.891634749,5427050.219587984,1.660827494
107,107,1696417.276738805,5426967.135407306,1.044755237
108,108,1696447.192169812,5426931.192010948,0.244302125
109,109,1695396.969727695,5426915.158075506,0.921635136
110,110,1696412.067388749,5426835.330072886,0.391824555
111,111,1696404.135545326,5426809.587248797,2.720610778
112,112,1698451.808438562,5426734.785371747,-0.160451304
113,113,1693214.921330056,5426794.08160281,-0.640307642
114,114,1693223.67875678,5426775.390958061,-0.763999939
115,115,1693238.606089684,5426747.761816519,-9999.0
116,116,1693261.401322265,5426717.606362808,-9999.0
117,117,1696237.295399371,5426657.747629316,1.844000008
118,118,1693367.915861271,5426676.101167588,-9999.0
119,119,1698292.263102466,5426607.141351235,-0.258155163
120,120,1693404.272646683,5426666.187684779,-9999.0
121,121,1698280.968455593,5426598.131560906,1.718349247
122,122,1698235.85967692,5426589.751403949,0.070878631
123,123,1696234.61155859,5426565.380927096,1.541551242
124,124,1696257.388851467,5426525.006261463,-0.572299969
125,125,1697879.68229604,5426483.184709826,0.699109045
126,126,1696273.845751013,5426500.166530172,1.0170044
127,127,1697800.693258275,5426465.385092692,1.365820137
128,128,1696263.610624794,5426410.19585709,-0.390461506
129,129,1693804.238003106,5426418.661515396,-0.288984727
130,130,1695411.973127585,5426367.205283511,1.633086986
131,131,1693804.68426817,5426356.382116421,5.509666681
132,132,1696331.199295323,5426323.948373318,1.718889404
133,133,1696327.711733113,5426158.447544027,0.623774182
134,134,1696320.133568591,5426144.139549417,4.413928568
135,135,1693671.609878661,5426084.476858928,-0.56004162
136,136,1696107.366874357,5425967.402691543,0.114881385
137,137,1693647.702103506,5425980.055151462,-0.555296861
138,138,1696098.927277395,5425888.136864326,-0.27209995
139,139,1693637.170757478,5425883.017120814,1.545469263
140,140,1696075.408022522,5425848.141452163,0.35244117
141,141,1693632.557277698,5425854.574116983,0.529341735
142,142,1695434.004063056,5425819.380146527,1.300355065
143,143,1695420.624072735,5425800.199914115,4.334882379
144,144,1693616.462741471,5425818.600868708,0.821664364
145,145,1695412.516042772,5425787.472485846,4.772250026
146,146,1695398.928157158,5425757.148241745,2.843028602
147,147,1693225.336712976,5425715.604665962,0.437555554
148,148,1693230.564417001,5425706.141531159,-0.129599998
149,149,1698060.685023837,5425631.670878907,1.39234007
150,150,1698133.784814971,5425609.143405902,-0.238124257
151,151,1698174.30819951,5425588.687603314,-0.401989861
152,152,1698201.91636403,5425569.125137934,-0.540694865
153,153,1697511.1897475,5425251.320064957,-0.182639954
154,154,1692869.909522943,5425304.569797922,0.59930694
155,155,1692846.63279795,5425281.042709041,0.576552038
156,156,1697370.370375786,5425209.580652471,1.961780159
157,157,1692839.973233649,5425236.57839691,0.352510879
158,158,1692864.032307119,5425212.518690682,-0.221413007
159,159,1697570.071952006,5425151.844160934,-9999.0
160,160,1692885.873022286,5425202.142955315,-0.295285686
161,161,1697290.764526875,5425145.889058211,2.0897949
162,162,1697828.67579234,5425142.719278263,-0.214452302
163,163,1697276.014884787,5425134.860158609,2.584625021
164,164,1697633.805667893,5425129.738802333,0.527185342
165,165,1697805.773071524,5425128.912540437,-0.122765931
166,166,1692910.666491326,5425189.518471721,-0.422150334
167,167,1697233.622145696,5425115.213790478,0.664272733
168,168,1692926.044587473,5425169.464054568,-0.219619965
169,169,1692931.059893646,5425152.029523415,0.133472743
170,170,1692937.86525348,5425123.20877674,-0.623161252
171,171,1692945.005812507,5425083.586321867,-0.470436577
172,172,1692957.026616915,5425036.569633093,-0.584571376
173,173,1695559.437187982,5424668.462574259,4.187428611
