OID,FID_,X,Y,BCE_Aotea_
343,343,1762794.619140251,5791804.633030618,1.547213518
344,344,1760347.188325087,5791810.561377878,2.443672224
345,345,1759790.401557848,5791780.297464282,-9999.0
346,346,1762755.812881254,5791721.941019376,0.790745459
347,347,1762771.688593211,5791732.702705424,1.221628547
348,348,1759488.743945492,5791686.474176983,-0.853265817
349,349,1760521.411778264,5791636.271533174,0.310441555
350,350,1760520.671448206,5791601.436016371,0.200928103
351,351,1762219.822044799,5791542.926496656,0.155987499
352,352,1762199.812923067,5791533.389802517,1.609507609
353,353,1760502.434543881,5791549.392035376,-0.417851055
354,354,1762155.184299148,5791509.005607539,1.215611683
355,355,1762277.785703144,5791481.941477993,0.201825
356,356,1762127.087808397,5791458.349606062,0.49995798
357,357,1762134.761725379,5791445.100902366,2.059162171
358,358,1762694.501736105,5791394.161910104,1.25639999
359,359,1762678.076115826,5791384.433900363,0.683407423
360,360,1760389.128151946,5791425.187326393,-0.544426614
361,361,1762685.915802382,5791374.102201427,1.48972499
362,362,1762678.409024192,5791364.275028972,1.066345472
363,363,1760369.124047338,5791407.204450009,-0.28650237
364,364,1760350.836325337,5791390.372565691,-0.035179917
365,365,1762677.805925142,5791344.565005698,1.732777781
366,366,1762329.228697485,5791291.4467777,0.543379756
367,367,1762651.121930202,5791289.475928091,1.420847541
368,368,1762636.060685097,5791255.631772052,0.95823637
369,369,1762628.086942662,5791235.430608079,0.92496227
370,370,1760291.041119276,5791328.412143946,0.100647117
371,371,1760238.869933105,5791246.692056308,0.091990782
372,372,1762089.190396295,5791330.138003952,1.787932238
373,373,1760205.19850265,5791213.941877159,0.005574076
374,374,1760196.700774484,5791188.970644687,-0.044819817
375,375,1762021.000905037,5791175.097041688,1.330599997
376,376,1760188.179025456,5791134.49911952,0.026907406
377,377,1760179.542553603,5791104.54457704,0.141544988
378,378,1762497.181625899,5791008.883353335,0.705924992
379,379,1760178.173541427,5791034.766796683,0.153475001
380,380,1762522.011857218,5790995.91144191,0.870501803
381,381,1762035.412370004,5790980.15052055,1.301562859
382,382,1758544.719494475,5791016.790755336,-0.174974995
383,383,1761978.051118589,5790956.041574217,0.608887437
384,384,1760161.129586094,5790970.282608151,-0.1853
385,385,1761965.402904983,5790935.251144848,0.75039727
386,386,1761956.757900156,5790919.899937956,0.465923917
387,387,1760155.06268628,5790945.886908714,0.463480647
388,388,1761942.601350861,5790900.444120096,0.444418188
389,389,1762861.236606509,5790892.61534056,1.301591631
390,390,1762849.48774657,5790872.224123025,1.064094579
391,391,1761934.319550858,5790880.663994681,0.469309093
392,392,1760167.744744783,5790905.33424424,0.341824996
393,393,1762857.238052662,5790852.404520478,1.437851043
394,394,1762841.004889774,5790842.476551637,1.04316668
395,395,1761928.0714788,5790854.091765866,0.845733327
396,396,1761909.728273062,5790826.096884805,0.939564259
397,397,1762808.47382706,5790803.467974149,1.063698641
398,398,1760158.685081592,5790845.67944384,0.934399992
399,399,1760157.94330372,5790815.985475368,0.657181825
400,400,1760753.666842796,5790754.99109574,1.165041835
401,401,1760614.125793791,5790737.009933586,0.645300001
402,402,1760082.367299185,5790754.738462279,0.511291127
403,403,1760581.992817861,5790707.726233618,0.661999998
404,404,1760564.502159769,5790688.162533952,1.195661093
405,405,1760027.293449111,5790662.775357249,0.577392951
406,406,1760414.879589122,5790641.198448693,0.864953482
407,407,1760343.842809324,5790632.630362367,0.543585777
408,408,1760383.270843199,5790640.228374347,1.381417678
409,409,1760323.932128587,5790623.049598907,0.613337506
410,410,1760300.078302666,5790613.545955174,0.520364776
411,411,1761147.825448893,5790596.85412844,0.581724995
412,412,1760272.281532144,5790604.119663218,0.421274997
413,413,1760256.313823446,5790594.461057079,0.437367085
414,414,1759999.934331232,5790610.791781609,0.703933526
415,415,1760224.378445418,5790575.143486618,0.682367078
416,416,1760240.087862728,5790580.74698674,0.550849312
417,417,1760208.410928597,5790565.485057742,0.484106669
418,418,1760188.500395979,5790555.903706309,0.484460003
419,419,1760140.79353921,5790536.895581315,0.694737499
420,420,1760163.872945263,5790543.955584246,0.895181002
421,421,1760120.883161443,5790527.314074151,0.530825004
422,422,1760103.260402563,5790513.698810428,0.724402013
423,423,1760088.75295888,5790498.028000984,0.772349999
424,424,1761329.44817029,5790214.53214126,0.28240741
425,425,1761301.687300181,5790185.766335106,0.293500002
426,426,1762294.81163629,5790155.647570641,1.281057124
427,427,1761281.304363404,5790165.414390272,0.349607588
428,428,1761265.336183297,5790155.75833588,0.386429778
429,429,1761222.674373899,5790133.033123085,0.529050572
430,430,1762423.529150397,5790082.930211962,0.935573317
431,431,1762403.616756601,5790073.354756179,1.028896107
