OID,FID_,X,Y,BCE_Rangau
194,194,1629426.306185746,6136467.904942971,0.690605202
195,195,1626389.804215171,6136446.267008833,-9999.0
196,196,1626515.906616054,6136436.715397729,-9999.0
197,197,1626532.576039041,6136420.895884337,-9999.0
198,198,1624473.427405926,6136414.433054663,0.749192307
199,199,1626406.943507618,6136414.007189189,-9999.0
200,200,1626548.842576489,6136410.283558565,-9999.0
201,201,1626425.228626688,6136399.675557923,-9999.0
202,202,1629486.004437011,6136390.318183282,0.925024998
203,203,1626437.508568533,6136389.678098932,-9999.0
204,204,1629453.148999037,6136380.462075666,0.676509366
205,205,1629502.383972113,6136380.303358637,0.933452693
206,206,1626622.110550177,6136379.180527592,-9999.0
207,207,1629473.200868618,6136369.855002826,0.730856804
208,208,1626613.87571581,6136369.242563028,-9999.0
209,209,1626630.287356156,6136369.194752135,-9999.0
210,210,1626453.693372035,6136368.386864018,-9999.0
211,211,1626484.936559678,6136352.729000319,-9999.0
212,212,1626518.934629144,6136331.836544096,-9999.0
213,213,1624471.402356523,6136315.455539313,0.679607839
214,214,1629542.9625156,6136240.704420307,0.661949991
215,215,1628212.701029163,6136135.323844818,-9999.0
216,216,1624464.182748292,6136121.223515062,0.58280488
217,217,1628008.084437755,6136111.047861074,-9999.0
218,218,1628295.264246633,6136105.182754786,-9999.0
219,219,1624467.003675485,6136095.84846915,0.38140595
220,220,1628204.75705578,6136025.766528232,-9999.0
221,221,1628188.253910977,6135995.931467338,-9999.0
222,222,1624470.989994138,6135936.906725939,0.03545
223,223,1624479.11425325,6135906.995026492,-0.043099999
224,224,1628114.098297016,6135896.539938944,-9999.0
225,225,1628105.862286088,6135886.603275266,-9999.0
226,226,1624487.662133022,6135887.516197648,-0.091304351
227,227,1624528.071883756,6135867.22030344,-0.353315833
228,228,1624496.002163728,6135816.5711886,-0.204786886
229,229,1629664.458296985,6135802.187346452,0.558327372
230,230,1624492.083403548,6135743.336997526,-0.227923094
231,231,1624560.672971902,6135722.480072672,-9999.0
232,232,1624503.775887839,6135714.206884217,-9999.0
233,233,1624530.801048555,6135711.467369405,-9999.0
234,234,1624511.813286265,6135693.294056527,-9999.0
235,235,1624524.862037716,6135662.210024199,-9999.0
236,236,1624514.371419631,6135625.198613323,-9999.0
237,237,1624408.571606151,6135608.673526134,-9999.0
238,238,1624322.390604323,6135598.592674008,-9999.0
239,239,1624428.887968555,6135598.104525746,-9999.0
240,240,1624478.845623345,6135607.009159411,0.069641466
241,241,1624248.491864667,6135578.865081075,-9999.0
242,242,1624026.826173263,6135519.640101688,-9999.0
243,243,1624002.156280942,6135509.781549666,2.072176452
244,244,1624018.566273338,6135509.738518734,-9999.0
245,245,1624043.181395516,6135509.673732736,-9999.0
246,246,1626307.774973191,6135506.174112516,-9999.0
247,247,1623969.308177525,6135499.177853341,-9999.0
248,248,1624030.847612738,6135499.744287226,-9999.0
249,249,1623706.851631326,6135458.584468739,0.63915755
250,250,1623727.472938339,6135460.78440312,0.691981825
251,251,1623887.129848909,6135450.311116021,-9999.0
252,252,1623793.176977124,6135441.174734272,0.112900976
253,253,1629759.20063482,6135425.10136952,0.954191561
254,254,1623807.994751341,6135450.343277074,0.2548195
255,255,1629767.480806408,6135402.798770106,0.804805194
256,256,1623411.047961201,6135399.651592297,3.968240051
257,257,1623764.792020618,6135412.676291417,0.025361087
258,258,1623380.297931834,6135380.485269693,1.621758046
259,259,1623411.458158909,6135353.22239042,0.356689658
260,260,1623427.411659513,6135346.973642351,0.348436861
261,261,1623441.528331623,6135329.237476083,0.73917646
262,262,1623456.347065187,6135312.122096837,0.767111101
263,263,1623468.292213336,6135292.034453973,0.714708844
264,264,1623476.890685578,6135278.686861912,0.804972223
265,265,1623485.154197654,6135262.542146292,0.883521123
266,266,1623492.17990037,6135252.095693161,0.679687139
267,267,1623468.192200745,6135182.168292182,0.604831161
268,268,1623459.906629416,6135172.296732986,0.786135122
269,269,1623410.399975294,6135122.80012562,0.624325582
270,270,1623385.734996554,6135102.939358146,0.389800004
271,271,1629854.817744901,6135047.694906821,0.765750028
272,272,1623410.221387465,6135053.066888993,-9999.0
273,273,1623222.484383302,6134982.38570361,1.908811264
274,274,1629894.495462379,6134943.41783322,0.695827575
275,275,1629907.411818623,6134933.715675427,0.636822054
276,276,1623180.595995906,6134943.513649413,3.97659324
277,277,1629924.887661983,6134904.407177289,0.704571441
278,278,1623090.050969623,6134864.235684965,1.012465751
279,279,1623049.599057725,6134823.470104109,2.14011538
280,280,1623032.976076903,6134804.192901578,4.669381889
281,281,1623025.494011302,6134793.839512238,4.279142707
282,282,1623008.120901185,6134764.540986967,1.19942325
283,283,1623000.575131574,6134754.17432099,1.286319114
284,284,1630022.158462687,6134734.879761521,0.638525009
285,285,1622983.281482383,6134724.862858762,2.121628551
286,286,1622810.267669787,6134646.871818521,1.914261392
287,287,1630046.20957872,6134615.05212694,0.780701743
288,288,1622778.608056961,6134624.740158074,2.44863476
289,289,1630055.115451192,6134595.303089764,0.766589281
290,290,1622761.510256663,6134605.147706403,0.853793105
291,291,1622646.631343455,6134575.883055119,2.830654468
292,292,1622638.093804925,6134566.451032497,1.695801776
293,293,1630087.001235525,6134545.183737484,0.793000017
294,294,1622605.428093405,6134536.288344792,1.113215401
295,295,1622596.905491007,6134526.804734232,1.109000003
296,296,1622547.33881398,6134488.133026159,0.51415686
297,297,1622477.673898316,6134467.616861816,1.246917173
298,298,1622448.814483739,6134457.761708265,1.406212522
299,299,1622498.206625779,6134457.435940552,0.931517245
