OID,FID_,X,Y,BCE_Queen_
273,273,1700141.627193464,5445332.320633519,-0.596299949
274,274,1702326.793451105,5445303.327486054,-9999.0
275,275,1702335.166249362,5445284.291118747,-0.580666631
276,276,1697900.532735822,5445381.551454661,0.220125019
277,277,1702341.759499012,5445273.498601303,-0.612368408
278,278,1702349.526044442,5445253.750895874,-0.522048735
279,279,1697893.041063911,5445283.70943693,0.062524597
280,280,1702355.924164833,5445233.037311897,-0.469398326
281,281,1697885.113681932,5445254.746916048,0.150856682
282,282,1697891.952364617,5445214.516743439,0.012962452
283,283,1702376.68799763,5445157.242429684,0.991665733
284,284,1700044.122499447,5445185.890476596,1.607987595
285,285,1702427.175527697,5445122.964370167,-0.623659547
286,286,1702448.379643707,5445102.095619546,-9999.0
287,287,1697868.941422975,5445159.886266283,-0.843999952
288,288,1702457.560567225,5445079.292151908,-0.383068444
289,289,1702466.825681275,5445057.646406929,-0.299419309
290,290,1699924.394034706,5445015.878515404,0.907530223
291,291,1699908.1385108,5444990.283727556,1.241324153
292,292,1702490.149383723,5445004.644409602,0.112608733
293,293,1697776.638965239,5445009.815888857,-9999.0
294,294,1699894.076234495,5444967.844380687,1.988971426
295,295,1699878.726617052,5444948.104688623,0.999955882
296,296,1697737.354218634,5444915.219257023,-0.246999951
297,297,1697795.765150522,5444778.405124564,-0.571899965
298,298,1697816.719425684,5444771.638974902,0.165708995
299,299,1697842.806307031,5444754.186881545,-0.487656204
300,300,1697863.020218654,5444736.635972481,-0.03255809
301,301,1697295.864687989,5444025.48218367,-9999.0
302,302,1697318.292590192,5443976.950566255,-9999.0
303,303,1698002.242595566,5443958.157305047,0.712923086
304,304,1697339.854049859,5443960.653154767,-0.65716661
305,305,1697983.376688919,5443946.819545275,0.949333374
306,306,1697354.727325125,5443945.435335305,-9999.0
307,307,1697968.217884592,5443937.116867266,1.949601969
308,308,1697369.718295593,5443935.411173289,-9999.0
309,309,1697768.760027827,5443919.423954958,1.023002377
310,310,1698198.963690631,5443915.708459807,-0.770999953
311,311,1697643.176938069,5443861.300970343,0.005163551
312,312,1698325.97642018,5443852.399206771,-0.409276551
313,313,1697515.489002508,5443843.211495141,-0.473318649
314,314,1698341.009010359,5443828.378925189,0.35048489
315,315,1698641.979837491,5443768.848424971,-0.602133292
316,316,1698649.091682439,5443758.481483886,-0.537416618
317,317,1698656.274759957,5443748.160667544,-0.314173872
318,318,1698663.528022987,5443737.906903384,-0.899999976
319,319,1700607.921012084,5443435.752820089,1.047745465
320,320,1700744.114654041,5443449.539498039,1.252478751
321,321,1700558.754546058,5443424.862913476,4.313666701
322,322,1700516.702871144,5443413.922182853,0.027386174
323,323,1700436.77075736,5443391.482847098,0.560002901
324,324,1700368.485855325,5443374.442261291,-0.347662892
325,325,1698965.640728581,5443377.264530997,0.034258475
326,326,1700327.461004292,5443356.260450211,0.223877637
327,327,1698945.344225614,5443364.084234688,0.132700029
328,328,1700301.577514875,5443346.466465932,2.657161995
329,329,1698930.454770078,5443353.063526927,1.549111147
330,330,1700266.173864756,5443338.430990371,2.648945934
331,331,1698904.79469348,5443327.384266254,1.712976589
332,332,1700157.393574543,5443309.525236168,-0.683799952
333,333,1698891.789767689,5443315.312089955,1.151195159
334,334,1698884.962147926,5443305.696935967,0.630350044
335,335,1700122.399176096,5443290.212983766,-0.347131537
336,336,1700066.024674886,5443270.08162256,0.779148021
337,337,1700312.81387884,5443007.879630024,-9999.0
338,338,1700297.341758352,5442926.864509441,-0.290666626
339,339,1700242.07509295,5442811.839703445,-0.59090907
340,340,1699473.868736241,5442297.85704283,-0.317833299
341,341,1699531.955187258,5442171.088490137,-9999.0
342,342,1699636.828502909,5442119.462354828,-9999.0
343,343,1699651.850390072,5442109.914003734,-9999.0
344,344,1699703.327696824,5442043.006128032,-0.50434778
345,345,1699616.475061142,5441889.494530021,0.841047932
346,346,1699603.265615627,5441848.314989001,0.989050003
347,347,1699583.790345155,5441765.452965631,1.158083788
348,348,1699376.032678236,5441536.31487704,0.117386203
349,349,1699379.522873208,5441489.742430435,-0.257857099
350,350,1699392.049918754,5441463.636950743,-0.35179426
351,351,1699401.338794064,5441434.022791497,-0.581199947
352,352,1696691.129510425,5441359.700724671,0.248428571
